Timestamp,"Êtes-vous ?
2023/01/27 10:21:54 pm GMT,Homme,30,Marrakech,Marrakesh-Safi,Cadre,Très bonne,Très souvent,Vêtements et accessoires;Électronique;Articles de maison et meubles;Livres et médias;Produits de beauté et de soins personnels;Produits alimentaires et d'épicerie,Carte bancaire,Non,,Les réseaux sociaux,Parfois,Très important,Je me sens très en sécurité,Non,,Très probable,Les achats en ligne sont bien meilleurs,Oui,Oui,Augmenté,Oui
2023/01/28 8:01:39 am GMT,Homme,26,Safi,Marrakesh-Safi,Employé(e),Moyenne,Occasionnellement,Électronique,Carte bancaire,Non,,Les réseaux sociaux,Toujours,Très important,Je me sens très en sécurité,Non,,Neutre,Les deux sont à peu près équivalents,Non,Oui,Pas de changement,Non
2023/01/28 8:03:53 am GMT,Femme,60,Rabat,Rabat-Salé-Kénitra,Retraité(e),Très bonne,Très souvent,Vêtements et accessoires;Électronique;Articles de maison et meubles;Livres et médias;Produits de beauté et de soins personnels;Produits alimentaires et d'épicerie,Virement bancaire (application bancaire),Non,,Moteurs de recherche,Toujours,Très important,Je me sens très en sécurité,Non,,Très probable,Les achats en ligne sont bien meilleurs,Oui,Oui,Augmenté,Oui
2023/01/28 8:05:34 am GMT,Femme,28,Tanger,Tanger-Tetouan-Al Hoceima,Employé(e),Bonne,Fréquemment,Vêtements et accessoires;Produits de beauté et de soins personnels,PayPal,Non,,Les réseaux sociaux,Toujours,Très important,Je me sens très en sécurité,Non,,Plus ou moins probable,Les achats en ligne sont légèrement meilleurs,Oui,Oui,Augmenté,Oui
2023/01/28 8:07:55 am GMT,Homme,35,Tetouan,Tanger-Tetouan-Al Hoceima,Cadre,Très bonne,Très souvent,Vêtements et accessoires;Électronique;Articles de maison et meubles;Livres et médias,Virement bancaire (application bancaire),Non,,Moteurs de recherche,Toujours,Très important,Je me sens très en sécurité,Non,,Très probable,Les achats en ligne sont bien meilleurs,Oui,Oui,Augmenté,Oui
2023/01/28 8:10:32 am GMT,Femme,15,Fes,Fès-Meknès,Etudiant(e),Moyenne,Rarement,Électronique,Cash on Delivery (COD),Non,,Les réseaux sociaux,Rarement,Très important,Je me sens plutôt en sécurité,Non,,Neutre,Les deux sont à peu près équivalents,Non,Oui,Pas de changement,Non
2023/01/28 8:12:32 am GMT,Homme,16,Zagore,Drâa-Tafilalet,Etudiant(e),Moyenne,Rarement,Électronique,Cash on Delivery (COD),Non,,Les réseaux sociaux,Rarement,Très important,Je me sens très en sécurité,Non,,Neutre,Les deux sont à peu près équivalents,Non,Oui,Pas de changement,Non
2023/01/28 8:14:07 am GMT,Femme,14,Agadir,Souss-Massa,Etudiant(e),Bonne,Rarement,Électronique,Cash on Delivery (COD),Non,,Les réseaux sociaux,Toujours,Très important,Je me sens plutôt en sécurité,Non,,Neutre,Les deux sont à peu près équivalents,Non,Oui,Pas de changement,Non
2023/01/28 8:15:35 am GMT,Homme,17,Tanger,Tanger-Tetouan-Al Hoceima,Etudiant(e),Très bonne,Rarement,Électronique,Cash on Delivery (COD),Non,,Les réseaux sociaux,Toujours,Très important,Je me sens plutôt en sécurité,Non,,Neutre,Les achats en ligne sont légèrement meilleurs,Non,Oui,Pas de changement,Non
2023/01/28 8:17:07 am GMT,Homme,30,Tetouan,Tanger-Tetouan-Al Hoceima,Employé(e),Bonne,Fréquemment,Vêtements et accessoires;Électronique,Carte bancaire,Non,,Les réseaux sociaux,Toujours,Très important,Je me sens très en sécurité,Non,,Très probable,Les achats en ligne sont légèrement meilleurs,Oui,Oui,Augmenté,Oui
2023/01/28 8:18:40 am GMT,Homme,27,Tanger,Tanger-Tetouan-Al Hoceima,Employé(e),Bonne,Fréquemment,Vêtements et accessoires;Électronique,Carte bancaire,Non,,Les réseaux sociaux,Toujours,Très important,Je me sens très en sécurité,Non,,Très probable,Les achats en ligne sont légèrement meilleurs,Oui,Oui,Augmenté,Non
2023/01/28 8:21:20 am GMT,Femme,33,Tanger,Tanger-Tetouan-Al Hoceima,Cadre,Très bonne,Très souvent,Vêtements et accessoires;Électronique;Produits de beauté et de soins personnels,Carte bancaire,Non,,Moteurs de recherche,Toujours,Très important,Je me sens très en sécurité,Non,,Très probable,Les achats en ligne sont bien meilleurs,Oui,Oui,Augmenté,Oui
2023/01/28 8:23:00 am GMT,Femme,38,Meknes,Fès-Meknès,Cadre,Très bonne,Très souvent,Vêtements et accessoires;Électronique;Articles de maison et meubles;Produits de beauté et de soins personnels,Virement bancaire (application bancaire),Non,,Les réseaux sociaux,Toujours,Très important,Je me sens très en sécurité,Non,,Très probable,Les achats en ligne sont bien meilleurs,Non,Oui,Augmenté,Oui
2023/01/28 8:24:55 am GMT,Homme,35,Fes,Fès-Meknès,Employé(e),Bonne,Fréquemment,Vêtements et accessoires;Électronique,Carte bancaire,Non,,Les réseaux sociaux,Toujours,Très important,Je me sens très en sécurité,Non,,Très probable,Les achats en ligne sont bien meilleurs,Oui,Oui,Augmenté,Oui
2023/01/28 8:52:07 am GMT,Homme,23,Jorf,Drâa-Tafilalet,Etudiant(e),Faible,Rarement,Électronique,PayPal,Oui,تعرضت للنصب ,Publicité en ligne,Toujours,Très important,Je me sens plutôt en sécurité,Non,,Neutre,Les achats en ligne sont bien meilleurs,Oui,Non,Augmenté,Oui
2023/01/28 9:51:40 am GMT,Femme,18,Casablanca ,Casablanca-Settat,Etudiant(e),Bonne,Rarement,Vêtements et accessoires;Articles de maison et meubles,Carte bancaire,Non,,Les réseaux sociaux,Toujours,Très important,Je me sens très en sécurité,Non,,Plus ou moins probable,Les deux sont à peu près équivalents,Non,Oui,Pas de changement,Oui
2023/01/28 10:06:02 am GMT,Homme,23,tinghir,Drâa-Tafilalet,Etudiant(e),Moyenne,Rarement,Vêtements et accessoires;Livres et médias,Carte bancaire,Non,,Les réseaux sociaux,Parfois,Assez important,Je me sens plutôt en sécurité,Non,,Plus ou moins probable,Les deux sont à peu près équivalents,Non,Non,Pas de changement,Non
2023/01/28 10:11:04 am GMT,Femme,21ans,Rissani,Drâa-Tafilalet,Etudiant(e),Moyenne,Occasionnellement,Vêtements et accessoires;Livres et médias;Produits de beauté et de soins personnels,Carte bancaire,Non,,Les réseaux sociaux,Parfois,Très important,Je me sens très en sécurité,Oui,Toujours j'ai utilisée des sites web qui est connu par les gens et qui est confiance pour éviter la peur et tous les doutes ,Plus ou moins probable,Les deux sont à peu près équivalents,Oui,Oui,Pas de changement,Oui
2023/01/28 10:18:45 am GMT,Homme,18,Sidi ifni ,Guelmim-Oued Noun,Etudiant(e),Faible,Jamais,Livres et médias;Produits alimentaires et d'épicerie,Cash on Delivery (COD),Non,,Les réseaux sociaux,Jamais,Très important,Je me sens très en sécurité,Non,,Neutre,Les achats en ligne sont bien meilleurs,Oui,Oui,Diminué,Non
2023/01/28 12:12:01 pm GMT,Femme,20,Errachidia ,Drâa-Tafilalet,Etudiant(e),Moyenne,Rarement,Vêtements et accessoires;Produits de beauté et de soins personnels,Virement bancaire (application bancaire),Non,,Les réseaux sociaux,Parfois,Très important,Je me sens très en sécurité,Non,,Neutre,Les achats en ligne sont bien meilleurs,Oui,Oui,Pas de changement,Non
2023/01/28 12:32:18 pm GMT,Femme,20,Errachidia ,Drâa-Tafilalet,Etudiant(e),Faible,Occasionnellement,Vêtements et accessoires;Produits de beauté et de soins personnels,Cash on Delivery (COD),Non,,Les réseaux sociaux,Parfois,Très important,Je ne me sens pas en sécurité,Non,,Neutre,Les achats en ligne sont légèrement meilleurs,Oui,Oui,Pas de changement,Non
2023/01/28 1:07:43 pm GMT,Femme,24,Midelt,Drâa-Tafilalet,Etudiant(e),Moyenne,Occasionnellement,Vêtements et accessoires;Produits de beauté et de soins personnels,Carte bancaire,Non,,Les réseaux sociaux,Toujours,Très important,Je me sens plutôt en sécurité,Oui,,Plus ou moins probable,Les deux sont à peu près équivalents,Non,Oui,Pas de changement,Oui
2023/01/28 1:51:20 pm GMT,Homme,21,الداخلة,Dakhla-Oued Ed-Dahab,Etudiant(e),Faible,Jamais,لاشيء,معندي ,Non,,Publicité en ligne,Jamais,Pas du tout important,Je ne me sens pas en sécurité,Non,,Neutre,Les deux sont à peu près équivalents,Non,Non,Diminué,Non
2023/01/28 3:13:10 pm GMT,Femme,22ans,Tinghir,Drâa-Tafilalet,Etudiant(e),Bonne,Occasionnellement,Vêtements et accessoires;Articles de maison et meubles;Livres et médias;Produits de beauté et de soins personnels,Cash on Delivery (COD),Non,,Les réseaux sociaux,Parfois,Pas très important,Je me sens plutôt en sécurité,Non,,Assez peu probable,Les deux sont à peu près équivalents,Oui,Non,Pas de changement,Oui
2023/01/28 4:52:52 pm GMT,Femme,23 ans ,Meknès ,Fès-Meknès,Demandeur d'emplois,Faible,Rarement,Vêtements et accessoires,Carte bancaire,Non,,Les réseaux sociaux,Parfois,Très important,Je me sens très en sécurité,Non,,Neutre,Les deux sont à peu près équivalents,Non,Oui,Pas de changement,Non
2023/01/28 6:09:51 pm GMT,Homme,18,Agadir ,Souss-Massa,Etudiant(e),Très faible,Jamais,Électronique,Carte bancaire,Non,,Les réseaux sociaux,Parfois,Assez important,Je me sens plutôt en sécurité,Non,,Plus ou moins probable,Les achats en ligne sont légèrement meilleurs,Oui,Oui,Pas de changement,Non
2023/01/28 6:23:29 pm GMT,Homme,34,أرفود ,Drâa-Tafilalet,Employé(e),Moyenne,Rarement,Vêtements et accessoires,Carte bancaire,Non,,Les réseaux sociaux,Toujours,Très important,Je me sens très en sécurité,Non,,Neutre,Les deux sont à peu près équivalents,Non,Non,Augmenté,Oui
2023/01/28 10:02:13 pm GMT,Homme,29,Rabat ,Rabat-Salé-Kénitra,Cadre,Bonne,Occasionnellement,Vêtements et accessoires;Électronique;Articles de maison et meubles,Cash on Delivery (COD),Oui,"Les articles délivrés sont pas les mêmes, que ceux sur internet ",Publicité en ligne,Parfois,Assez important,Je ne me sens pas en sécurité,Non,,Neutre,Les achats dans les magasins traditionnels sont légèrement meilleurs,Non,Non,Pas de changement,Non
2023/01/28 11:27:14 pm GMT,Femme,25,Casa,Casablanca-Settat,Employé(e),Très bonne,Très souvent,Vêtements et accessoires,Carte bancaire,Non,,Les réseaux sociaux,Parfois,Assez important,Je me sens très en sécurité,Non,,Très probable,Les achats en ligne sont bien meilleurs,Oui,Oui,Pas de changement,Non
2023/01/28 11:31:05 pm GMT,Homme,28,Fes,Fès-Meknès,Employé(e),Très bonne,Rarement,Vêtements et accessoires,Virement bancaire (application bancaire),Oui,عدم التوصل بالمنتوج,Les réseaux sociaux,Toujours,Très important,Je me sens plutôt en sécurité,Oui,عدم وضع معلومات حول البطاقة البنكية ,Très peu probable,Les achats dans les magasins traditionnels sont bien meilleurs,Oui,Oui,Pas de changement,Oui
2023/01/29 12:04:11 am GMT,Homme,25,Safi,Marrakesh-Safi,Cadre,Moyenne,Occasionnellement,Vêtements et accessoires;Électronique;Livres et médias,Cash on Delivery (COD),Oui,,Les réseaux sociaux,Toujours,Très important,Je me sens plutôt en sécurité,Oui,,Très probable,Les achats en ligne sont bien meilleurs,Oui,Non,Augmenté,Oui
2023/01/29 12:58:58 am GMT,Femme,28,Agadir ,Souss-Massa,Etudiant(e),Moyenne,Jamais,Produits de beauté et de soins personnels,PayPal,Oui,"اشتريت منتج وتوصلت بمنتج اخر لا علاقة له بالدي طلبات
",Les réseaux sociaux,Toujours,Très important,Je ne me sens pas en sécurité,Non,,Neutre,Les achats en ligne sont légèrement meilleurs,Oui,Non,Pas de changement,Oui
2023/01/29 12:04:49 pm GMT,Homme,24,Azrou,Fès-Meknès,Employé(e),Moyenne,Occasionnellement,Électronique,Virement bancaire (application bancaire),Non,,Les réseaux sociaux,Toujours,Très important,Je me sens très en sécurité,Non,,Neutre,Les deux sont à peu près équivalents,Non,Oui,Pas de changement,Non
2023/01/29 12:06:17 pm GMT,Femme,28,Settat,Casablanca-Settat,Employé(e),Bonne,Fréquemment,Vêtements et accessoires;Électronique;Produits de beauté et de soins personnels,Virement bancaire (application bancaire),Non,,Les réseaux sociaux,Toujours,Très important,Je me sens très en sécurité,Non,,Plus ou moins probable,Les achats en ligne sont légèrement meilleurs,Oui,Oui,Augmenté,Non
2023/01/29 12:07:58 pm GMT,Homme,33,Agadir,Souss-Massa,Cadre,Bonne,Fréquemment,Vêtements et accessoires;Électronique;Articles de maison et meubles,Virement bancaire (application bancaire),Non,,Les réseaux sociaux,Toujours,Très important,Je me sens très en sécurité,Non,,Plus ou moins probable,Les achats en ligne sont légèrement meilleurs,Oui,Oui,Pas de changement,Non
2023/01/29 12:10:10 pm GMT,Femme,38,Rabat,Rabat-Salé-Kénitra,Employé(e),Bonne,Très souvent,Vêtements et accessoires;Électronique;Produits de beauté et de soins personnels,Carte bancaire,Non,,Les réseaux sociaux,Toujours,Très important,Je me sens très en sécurité,Non,,Très probable,Les achats en ligne sont légèrement meilleurs,Oui,Oui,Augmenté,Oui
2023/01/29 12:11:31 pm GMT,Femme,26,Kénitra,Rabat-Salé-Kénitra,Etudiant(e),Bonne,Fréquemment,Vêtements et accessoires;Électronique;Produits de beauté et de soins personnels,PayPal,Non,,Les réseaux sociaux,Toujours,Très important,Je me sens très en sécurité,Non,,Très probable,Les achats en ligne sont légèrement meilleurs,Oui,Oui,Augmenté,Oui
2023/01/29 12:13:42 pm GMT,Homme,29,Meknes,Fès-Meknès,Employé(e),Bonne,Fréquemment,Vêtements et accessoires;Électronique,Carte bancaire,Non,,Les réseaux sociaux,Toujours,Très important,Je me sens très en sécurité,Non,,Très probable,Les achats en ligne sont légèrement meilleurs,Oui,Oui,Augmenté,Non
2023/01/29 4:25:34 pm GMT,Homme,56,Meknes,Fès-Meknès,Retraité(e),Très bonne,Fréquemment,Vêtements et accessoires;Électronique;Articles de maison et meubles;Livres et médias;Produits alimentaires et d'épicerie,Carte bancaire,Non,,Les réseaux sociaux,Toujours,Très important,Je me sens très en sécurité,Non,,Très probable,Les achats en ligne sont bien meilleurs,Oui,Oui,Augmenté,Oui
2023/01/29 4:28:39 pm GMT,Femme,13,Marakech,Marrakesh-Safi,Etudiant(e),Très bonne,Rarement,Produits de beauté et de soins personnels,Cash on Delivery (COD),Non,,Les réseaux sociaux,Toujours,Très important,Je me sens très en sécurité,Non,,Neutre,Les deux sont à peu près équivalents,Non,Oui,Pas de changement,Non
2023/01/29 4:31:35 pm GMT,Femme,35,Rabat,Rabat-Salé-Kénitra,Cadre,Bonne,Très souvent,Vêtements et accessoires;Électronique;Produits de beauté et de soins personnels,Virement bancaire (application bancaire),Non,,Les réseaux sociaux,Toujours,Très important,Je me sens très en sécurité,Non,,Très probable,Les achats en ligne sont bien meilleurs,Oui,Oui,Augmenté,Oui
2023/01/29 6:53:38 pm GMT,Homme,25,Safi,Marrakesh-Safi,Employé(e),Moyenne,Fréquemment,Électronique,Virement bancaire (application bancaire),Non,,Les réseaux sociaux,Toujours,Très important,Je me sens très en sécurité,Non,,Plus ou moins probable,Les achats en ligne sont légèrement meilleurs,Oui,Oui,Augmenté,Non
2023/01/29 6:55:05 pm GMT,Femme,39,Guelmim,Guelmim-Oued Noun,Cadre,Très bonne,Très souvent,Vêtements et accessoires;Électronique;Produits de beauté et de soins personnels,Carte bancaire,Non,,Les réseaux sociaux,Toujours,Très important,Je me sens très en sécurité,Non,,Très probable,Les achats en ligne sont bien meilleurs,Oui,Oui,Augmenté,Non
2023/01/29 6:57:14 pm GMT,Femme,28,Béni Mellal,Béni Mellal-Khénifra,Employé(e),Bonne,Fréquemment,Vêtements et accessoires;Électronique,Virement bancaire (application bancaire),Non,,Les réseaux sociaux,Toujours,Très important,Je me sens très en sécurité,Non,,Plus ou moins probable,Les achats en ligne sont légèrement meilleurs,Oui,Oui,Augmenté,Non
2023/01/29 7:17:59 pm GMT,Homme,36,Agadir,Souss-Massa,Employé(e),Bonne,Fréquemment,Vêtements et accessoires;Électronique,Carte bancaire,Non,,Les réseaux sociaux,Toujours,Très important,Je me sens très en sécurité,Non,,Très probable,Les achats en ligne sont légèrement meilleurs,Oui,Oui,Augmenté,Non
2023/01/30 12:46:50 pm GMT,Homme,30,Meknes,Fès-Meknès,Employé(e),Bonne,Fréquemment,Vêtements et accessoires;Électronique,Virement bancaire (application bancaire),Non,,Les réseaux sociaux,Toujours,Très important,Je me sens très en sécurité,Non,,Plus ou moins probable,Les achats en ligne sont légèrement meilleurs,Oui,Oui,Augmenté,Non
2023/02/20 11:36:23 pm GMT,Homme,23,Casablanca,Casablanca-Settat,Employé(e),Moyenne,Occasionnellement,Vêtements et accessoires;Électronique,Carte bancaire,Oui,Retard de livraison,Moteurs de recherche,Toujours,Très important,Je me sens plutôt en sécurité,Oui,De ne pas partager des informations personnelles sensibles,Plus ou moins probable,Les deux sont à peu près équivalents,Oui,Non,Pas de changement,Oui
2023/02/20 11:38:53 pm GMT,Femme,25,Tanger,Tanger-Tetouan-Al Hoceima,Employé(e),Bonne,Fréquemment,Vêtements et accessoires;Articles de maison et meubles;Produits de beauté et de soins personnels,Carte bancaire,Non,,Les réseaux sociaux,Parfois,Très important,Je me sens plutôt en sécurité,Oui,Ne pas partager des informations personnelles,Plus ou moins probable,Les achats en ligne sont légèrement meilleurs,Oui,Oui,Diminué,Oui
2023/02/20 11:41:03 pm GMT,Femme,19,Agadir,Souss-Massa,Etudiant(e),Moyenne,Rarement,Vêtements et accessoires;Électronique,Cash on Delivery (COD),Non,,Les réseaux sociaux,Rarement,Très important,Je me sens très en sécurité,Non,,Neutre,Les deux sont à peu près équivalents,Non,Oui,Pas de changement,Non
2023/02/20 11:48:16 pm GMT,Homme,29,Azrou,Fès-Meknès,Cadre,Bonne,Fréquemment,Vêtements et accessoires;Électronique;Livres et médias,Carte bancaire,Oui,La qualité n'est pas bonne comme décrite,Moteurs de recherche,Toujours,Assez important,Je me sens plutôt en sécurité,Oui,Faites vos achats sur des sites web de confiance,Très probable,Les achats en ligne sont légèrement meilleurs,Oui,Oui,Pas de changement,Oui
2023/02/21 7:57:47 am GMT,Homme,23,Oujda ,Oriental,Etudiant(e),Faible,Rarement,Électronique,Cash on Delivery (COD),Non,,Les réseaux sociaux,Rarement,Pas très important,Je ne me sens pas en sécurité,Non,,Assez peu probable,Les achats en ligne sont légèrement meilleurs,Oui,Oui,Augmenté,Non
2023/02/21 9:21:12 am GMT,Femme,29,Tétouan,Tanger-Tetouan-Al Hoceima,Employé(e),Bonne,Occasionnellement,Vêtements et accessoires;Électronique;Produits de beauté et de soins personnels;Produits alimentaires et d'épicerie,Carte bancaire,Non,,Les réseaux sociaux,Toujours,Très important,Je ne me sens pas en sécurité,Non,,Très probable,Les achats en ligne sont bien meilleurs,Non,Non,Pas de changement,Non
2023/02/21 12:47:15 pm GMT,Femme,20,Salé ,Rabat-Salé-Kénitra,Etudiant(e),Faible,Jamais,Vêtements et accessoires,Cash on Delivery (COD),Non,,Les réseaux sociaux,Jamais,Assez important,Je me sens plutôt en sécurité,Non,,Neutre,Les deux sont à peu près équivalents,Non,Oui,Pas de changement,Oui
2023/02/21 2:35:25 pm GMT,Homme,23,Meknes,Fès-Meknès,Etudiant(e),Moyenne,Occasionnellement,Électronique,Cash on Delivery (COD),Non,,Les réseaux sociaux,Toujours,Très important,Je me sens plutôt en sécurité,Non,,Plus ou moins probable,Les achats en ligne sont légèrement meilleurs,Oui,Oui,Augmenté,Non
2023/02/21 2:42:14 pm GMT,Femme,40,Azrou,Fès-Meknès,Cadre,Bonne,Très souvent,Vêtements et accessoires;Électronique;Produits de beauté et de soins personnels,Carte bancaire,Non,,Les réseaux sociaux,Toujours,Très important,Je me sens très en sécurité,Non,,Très probable,Les achats en ligne sont bien meilleurs,Oui,Oui,Augmenté,Non
2023/02/21 2:43:42 pm GMT,Homme,28,Arfoud,Drâa-Tafilalet,Employé(e),Moyenne,Fréquemment,Vêtements et accessoires;Électronique;Articles de maison et meubles;Produits de beauté et de soins personnels,PayPal,Non,,Les réseaux sociaux,Parfois,Assez important,Je me sens plutôt en sécurité,Oui,,Très probable,Les achats en ligne sont légèrement meilleurs,Oui,Oui,Diminué,Non
2023/02/21 2:46:30 pm GMT,Homme,34,Marrakech,Marrakesh-Safi,Employé(e),Bonne,Fréquemment,Électronique,Carte bancaire,Non,,Les réseaux sociaux,Toujours,Très important,Je me sens très en sécurité,Non,,Plus ou moins probable,Les achats en ligne sont légèrement meilleurs,Oui,Oui,Augmenté,Non
2023/02/21 2:46:34 pm GMT,Femme,23,tanger,Tanger-Tetouan-Al Hoceima,Employé(e),Très bonne,Très souvent,Vêtements et accessoires;Livres et médias;Produits de beauté et de soins personnels,Virement bancaire (application bancaire),Non,,Publicité en ligne,Rarement,Pas très important,Je ne me sens pas en sécurité,Non,,Plus ou moins probable,Les achats en ligne sont légèrement meilleurs,Oui,Oui,Pas de changement,Non
2023/02/21 2:49:33 pm GMT,Femme,14,Tinghir,Drâa-Tafilalet,Etudiant(e),Moyenne,Rarement,Électronique,Virement bancaire (application bancaire),Non,,Les réseaux sociaux,Toujours,Très important,Je me sens plutôt en sécurité,Non,,Plus ou moins probable,Les achats en ligne sont légèrement meilleurs,Oui,Oui,Augmenté,Non
2023/02/21 2:49:46 pm GMT,Femme,25,tetouan,Tanger-Tetouan-Al Hoceima,Employé(e),Bonne,Fréquemment,Vêtements et accessoires;Articles de maison et meubles;Produits alimentaires et d'épicerie,Virement bancaire (application bancaire),Oui,,Les réseaux sociaux,Jamais,Pas très important,Je ne me sens pas en sécurité,Non,,Neutre,Les achats en ligne sont bien meilleurs,Oui,Oui,Augmenté,Oui
2023/02/21 3:01:58 pm GMT,Femme,26,martil,Tanger-Tetouan-Al Hoceima,Employé(e),Bonne,Occasionnellement,Vêtements et accessoires;Produits de beauté et de soins personnels;Produits alimentaires et d'épicerie,PayPal,Oui,,Moteurs de recherche,Parfois,Pas très important,Je me sens plutôt en sécurité,Oui,,Assez peu probable,Les achats en ligne sont légèrement meilleurs,Oui,Oui,Augmenté,Oui
2023/02/21 3:04:10 pm GMT,Homme,47,casablanca,Casablanca-Settat,Employé(e),Moyenne,Occasionnellement,Vêtements et accessoires;Articles de maison et meubles;Produits de beauté et de soins personnels,Virement bancaire (application bancaire),Oui,,Moteurs de recherche,Rarement,Assez important,Je me sens plutôt en sécurité,Oui,,Neutre,Les deux sont à peu près équivalents,Oui,Oui,Diminué,Oui
2023/02/21 3:05:43 pm GMT,Femme,38,casablanca,Casablanca-Settat,Etudiant(e),Faible,Rarement,Vêtements et accessoires;Articles de maison et meubles;Livres et médias,PayPal,Oui,,Publicité en ligne,Parfois,Très important,Je me sens très en sécurité,Oui,,Plus ou moins probable,Les achats en ligne sont bien meilleurs,Oui,Non,Augmenté,Non
2023/02/21 3:07:13 pm GMT,Femme,30,casablanca,Casablanca-Settat,Demandeur d'emplois,Très faible,Jamais,Vêtements et accessoires,Carte bancaire,Oui,,Les réseaux sociaux,Toujours,Très important,Je me sens très en sécurité,Non,,Très peu probable,Les achats en ligne sont bien meilleurs,Oui,Non,Diminué,Non
2023/02/21 3:08:33 pm GMT,Homme,31,casablanca,Casablanca-Settat,Cadre,Très bonne,Occasionnellement,Vêtements et accessoires;Électronique;Articles de maison et meubles;Produits alimentaires et d'épicerie,Virement bancaire (application bancaire),Oui,,Les réseaux sociaux,Toujours,Très important,Je ne me sens pas en sécurité,Oui,,Très probable,Les achats en ligne sont bien meilleurs,Oui,Oui,Diminué,Oui
2023/02/21 3:09:51 pm GMT,Femme,35,casablanca,Casablanca-Settat,Employé(e),Bonne,Très souvent,Vêtements et accessoires;Articles de maison et meubles;Livres et médias,PayPal,Non,,Moteurs de recherche,Toujours,Très important,Je me sens plutôt en sécurité,Oui,,Assez peu probable,Les achats en ligne sont bien meilleurs,Oui,Oui,Diminué,Oui
